x-entity;Anarchism;Antisemitism;Capitalism;Christianity;Communism;Conservatism;Democracy;Fascism;Feminism;Islamophobia;Left-wing politics;Liberalism;Marxism;Nationalism;Neo-Nazism;Protestantism;Right-wing politics;Secularism;Socialism;White supremacy
Lynn Westmoreland (R);0.0840927476812695;0.09065943457509479;0.07119803617135677;0.05579922140230341;0.07165598528787698;0.09991029122718684;0.09010176470589609;0.09030876449828132;0.06942190386490855;0.08185719401919692;0.08097832438352523;0.08115870401365774;0.061909380253893545;0.08070830293856979;0.11384540093316617;0.07203119558888271;0.08921879431343276;0.06350629137778578;0.09593602096660825;0.083301185653903
Hank Johnson (D);0.08031198964042188;0.1110814276404807;0.06629646289230678;0.06111800026676786;0.06528301840098584;0.07268517586987741;0.09120540348082011;0.0901778903304408;0.05675014611622649;0.08060021288398783;0.08532607415556877;0.08175581759630633;0.051757251938718454;0.07705422249648747;0.12152776027098816;0.07623529473903354;0.06664722311459757;0.05570370939091857;0.08861456111148443;0.09094734173890828
Rob Woodall (R);0.07198611548707413;0.06583596585190488;0.05851229189960924;0.04636637492381945;0.06163832050515947;0.09306028572039263;0.0797127689481606;0.07843713276958285;0.053568859287781954;0.08562412875940571;0.07613647854421998;0.07496950321254642;0.0520441437195337;0.07309573508809604;0.09691063478588043;0.0609158533929359;0.08808132729773513;0.06369376651366701;0.0842487564052381;0.06168530747234678
Austin Scott (politician) (R);0.07953193327774899;0.06114920400019759;0.05509963819990914;0.05454754028392459;0.06872771563025526;0.06875866849250825;0.0696205583357794;0.06712749944843632;0.054682495845276;0.05755308756439663;0.06373962962731687;0.0605943880923351;0.04532890181438225;0.07494980498167811;0.07993541415249115;0.061252129651745396;0.06722595651428478;0.05666705362687273;0.082792788766683;0.05751755773065198
Tom Graves (R);0.061872352699425225;0.05671498080138774;0.05046397882876312;0.047431451335829294;0.05140554153509079;0.08940406168156377;0.0664140201904358;0.06793790944475533;0.047942539900250214;0.05299795061149647;0.06359967691344473;0.05834201384122305;0.04402076028836249;0.05443649370240004;0.0829904806847425;0.058863919556021306;0.07033327735620748;0.04983797012365333;0.0704650272518297;0.048453501303572774
Paul Broun (R);0.06285740110674039;0.06681228364787752;0.051323431654086774;0.05174965008572063;0.0587568643430071;0.08569435102501272;0.07262943883768681;0.07141553143238408;0.053912991784925174;0.05665049652114247;0.08435903252574867;0.06769163408770487;0.04432163759186186;0.06249867826479108;0.0897418844215778;0.06048802586219898;0.06965598049043803;0.0754718679184389;0.07571169627109409;0.07582793843559887
Phil Gingrey (R);0.07455414143764828;0.06853207002620185;0.07292208342044554;0.049487362298232876;0.07128039562412143;0.07372320833381957;0.06733126605810384;0.08549309586109166;0.05618406612156961;0.062275728085014206;0.06776772348934249;0.07064669644489524;0.049984319002018815;0.07140427359912284;0.0929989388372372;0.05824290581157805;0.07726253835792377;0.05994305308446623;0.08197089879487988;0.07224997752531041
John Barrow (U.S. politician) (D);0.08212812103169109;0.0722407572079163;0.0663089915489004;0.055970907323605865;0.07024892275579167;0.06914514908876704;0.0826667732099286;0.07790291587258456;0.05442852454532183;0.06134933745275994;0.08592372706085541;0.08188914043577336;0.05209711540256058;0.082478156164204;0.10588863916410936;0.07122751427097923;0.08301962605256198;0.06368909478845941;0.09407430237572405;0.07086984537512374
David Scott (D);0.07834019101071876;0.06805005502481552;0.069917558440418;0.05383874979831278;0.059818630636580675;0.0497578603101147;0.04880137942328267;0.07490383087205818;0.04659953767476695;0.04847985802473437;0.0774991089996302;0.062336015687725156;0.06407183044198758;0.06648919675048041;0.08626993847168063;0.06678764485752862;0.05144897441499082;0.04765333099897823;0.08119695568751603;0.053964788231568264
Mazie Hirono (D);0.07697443112377769;0.07037083721039536;0.057212458435488486;0.048708422407152396;0.06510657358606747;0.07991174267602244;0.09090451043755565;0.08416162319141007;0.058844349160266304;0.053001990595765665;0.07751356888483954;0.09073365138904418;0.04878088953592541;0.0713376547559592;0.10529006693783119;0.07004476860604211;0.08111586554272338;0.06509697123941188;0.08686582148774823;0.06731147049851359
Mike Simpson (R);0.08506839915418524;0.08062272375598681;0.08033460325498618;0.05262517471670199;0.08522961912962665;0.08949182452213783;0.08276527232610202;0.08099291376140108;0.06068272600663321;0.07630495772784612;0.07829881518107089;0.08049193878265608;0.07225924869850836;0.06957111000912881;0.11466933953145958;0.0645220185935595;0.09189991733675;0.06465206883434904;0.09101729373789137;0.08812406502491213
Bobby Rush (D);0.08851751233508631;0.07195109607536015;0.0717177740784705;0.07683084629920721;0.0788775367541923;0.09057925706738039;0.08569471183611879;0.08875243373123387;0.05541446998417214;0.07865758099092943;0.08237547039366752;0.07473163055284443;0.05164860821916506;0.07527972359248271;0.11632194622687167;0.08120358993177032;0.08448392695474144;0.07319908339694621;0.09649292663103974;0.0900599692842808
Jesse Jackson Jr. (D);0.0998621045842873;0.0982519337771496;0.07812598057564885;0.0702714584622597;0.08679781285619084;0.09347547864452393;0.09165852965701474;0.09698578851438378;0.0725283603575227;0.07226634612598119;0.10174241832079367;0.10217911404160032;0.07552397816391465;0.09546558211815202;0.11561546002600742;0.08155050841681226;0.09055205576464645;0.07585278324659168;0.10825629723464993;0.08691805680598384
Dan Lipinski (D);0.07299391747924554;0.058622647770872435;0.06977372881550245;0.04583256779878889;0.07494011748339152;0.09985146526738284;0.10510427431230468;0.08092049982694288;0.06197452894263443;0.07347723304842635;0.09994455097360086;0.08848498583602654;0.06368536826801416;0.0778020446580755;0.09770082860537063;0.05544252707729806;0.1014718007973677;0.06136089534529139;0.09486223923734308;0.07434896921913492
Luis Gutierrez (D);0.09721166008343035;0.09138248675562713;0.08157033830569854;0.06070074850497842;0.09455167363783108;0.09409242332279766;0.08256831483127655;0.1006971011910048;0.08016897900579258;0.07998945522362977;0.1136853318176595;0.10500901328932319;0.07875450450685148;0.09347613513000738;0.11501708901400984;0.0752438462250974;0.08675401304134697;0.06437827508345172;0.11015502902655444;0.10381279972130408
Michael Quigley (D);0.07755199077840835;0.06426482834898747;0.05589638948989793;0.04945549890913756;0.06137495173730417;0.08374756293503423;0.08163914699870793;0.06604642059409094;0.05261309587795743;0.054265479414132387;0.0717449814086838;0.08215393243299234;0.04943992127941982;0.0638070086692513;0.09952248640299792;0.05571762948435768;0.07306137381519914;0.07352005672477174;0.08356147276769213;0.061717523345356406
Peter Roskam (R);0.06934156791232943;0.08130766475380419;0.06383359327953822;0.0480422230796429;0.06640079631434453;0.08938853621591764;0.08826333091853297;0.08536980903780346;0.06457555921675566;0.07248348663058088;0.09035867835848045;0.07852251157604065;0.071771965984335;0.07014515780246244;0.11466311842547963;0.05872695946944324;0.08452280519840472;0.05947556017301767;0.08906800880506288;0.06512627137211216
Jan Schakowsky (D);0.09203582550916378;0.08318636248196831;0.07794817456842826;0.0579629658532078;0.07677459723732086;0.08600366886523061;0.08269615062327096;0.08382211956094;0.07077656552084308;0.05950846049331357;0.08392101075358739;0.08678673919588684;0.054819190613582355;0.0805130816046472;0.14160152016710797;0.068435194412674;0.09331409323590292;0.06810279842186938;0.10379395819125299;0.06638587689110946
Bob Dold (R);0.07034844755732438;0.06551085443492852;0.05684258972622794;0.054491081631435775;0.06245999469502291;0.0846190592822198;0.06593888158194176;0.0795854776942144;0.0693349576464036;0.052893846696055374;0.07725667000929483;0.07093859672896023;0.05331073760448275;0.06906076477762846;0.10163550031584762;0.06292231381738236;0.08505568186395066;0.05392637959599343;0.08147400804753242;0.05436409830880326
Adam Kinzinger (R);0.0835617016156035;0.07108458189987102;0.07602900037571841;0.061855947999215705;0.08267980692775458;0.10177374363917459;0.08128030204032344;0.09159923082143853;0.05889857825253392;0.056441618406577104;0.08287481038794023;0.09205084221598524;0.06479542081427266;0.08764712033853418;0.1167789427722733;0.06623851609867512;0.0841065441891476;0.06470928499116747;0.10059708504270433;0.07771780379728246
Jerry Costello (D);0.08203177352284934;0.06988187782359223;0.05582964831405428;0.056041183941769435;0.06319293501346449;0.06567946205827262;0.07208590200105758;0.07714030109775974;0.04848050047276603;0.051721623538950615;0.07503950869852148;0.0807247886149546;0.050661535140152106;0.07321450528182645;0.1140529723706009;0.0661920486907004;0.05513911037882355;0.052265250012493866;0.08916923295478459;0.05611490108107836
Judy Biggert (R);0.07726593832415357;0.05907412930991036;0.053495988582498745;0.04759494508750547;0.0724898605988625;0.07236036894078385;0.06221574160418256;0.07352290010747041;0.0585351631651077;0.05345484005865839;0.0761426537965955;0.05972106836471653;0.052952591521876036;0.059716576027310286;0.10205581060877375;0.057554505582940355;0.0724085285807895;0.05424555765797279;0.07546417488016305;0.04788739707113677
