x-entity;Anarchism;Antisemitism;Capitalism;Christianity;Communism;Conservatism;Democracy;Fascism;Feminism;Islamophobia;Left-wing politics;Liberalism;Marxism;Nationalism;Neo-Nazism;Protestantism;Right-wing politics;Secularism;Socialism;White supremacy
Sandy Adams (R);0.09813956913203888;0.08818213807771977;0.08217432023382007;0.07708820340605824;0.0943819242067449;0.09487486339638493;0.10143182589717048;0.08900503810579663;0.09012899784246343;0.07987447787689501;0.09971484352028108;0.1008440239789168;0.07622635818972479;0.08606254499865205;0.12561094383888094;0.08063604101842342;0.08410775316376146;0.08878873931974905;0.10240151434790806;0.08363522611162807
David Rivera (R);0.1079871686839908;0.10485225143192772;0.08376148894418807;0.08508803192729228;0.10682310870009293;0.10898983588519362;0.11754550338803445;0.10054855064323476;0.09052643541083608;0.10070696822894216;0.10215821830377793;0.10943159990871347;0.09376195089616683;0.11212439945038324;0.13118017642270033;0.09942874064087444;0.10556908446090432;0.08648421595163187;0.12386155080065245;0.10498479084098288
Jack Kingston (R);0.11912260814209864;0.09430359118982336;0.10266794195768564;0.08447378813590417;0.10271112992800427;0.11043479532330294;0.10435262569630874;0.11402416381107533;0.09172987365938554;0.10056899125544136;0.11781811702094712;0.10777565206424816;0.10096944956120904;0.11378537360320867;0.14302794476253505;0.09965446623513106;0.0956403261499732;0.08991511168751964;0.12221576256356186;0.10359338063668762
Sanford Bishop (D);0.12627280094433366;0.10216058459795303;0.09557446871011592;0.10122081518512377;0.1017920027703047;0.12063226593540755;0.11892587793441077;0.11069491535551854;0.09244571215943276;0.0953111698366661;0.1118502524566682;0.10832556938786314;0.0829420253548662;0.12026796640248813;0.16042843652374145;0.11740544567642515;0.1273569460479264;0.08988639287255612;0.12640640720845356;0.11774442550093693
Lynn Westmoreland (R);0.11698667199375153;0.11373919743278088;0.10494543890785124;0.08510011562109424;0.1056653317321622;0.12156177944018134;0.12288911273924788;0.1111173270227025;0.09346767828439913;0.11497260730008285;0.11400843006314965;0.11427659751492072;0.10076424012226436;0.1137451062540895;0.14154857890535807;0.10338420079628767;0.10913452609545456;0.09652475897132956;0.12744734517599302;0.1155720641058778
Hank Johnson (D);0.11704628553750712;0.12742188038981708;0.0979404811185466;0.08456718004012391;0.09770416567949128;0.10440903780557699;0.12168459572802867;0.11896887180675905;0.08771669127949465;0.11102142444710247;0.114944632267616;0.11254180131085212;0.08237585484449128;0.11115490921966767;0.14958900325919927;0.10157391524321137;0.09783474314332674;0.08723931627746552;0.1203396161850008;0.12071963612410515
Rob Woodall (R);0.1055448452881466;0.09764848632756473;0.09076920028448393;0.0796746264611326;0.09434568946652078;0.11490215273782757;0.11069660839995647;0.0996220070970947;0.0848428420051549;0.109455152421975;0.10705803703159608;0.10609832788071627;0.0826357603722091;0.11348923620796758;0.11549622256482768;0.09410427647909517;0.10802552836364496;0.09457260591142172;0.1172133927399786;0.09398180540206716
Austin Scott (politician) (R);0.10919380637062004;0.0933188229363376;0.08768754573690324;0.08692033183037813;0.09617848617309044;0.09157830690033464;0.10116612838952063;0.08881010852283804;0.08584329732474291;0.08434067270196692;0.09543216240879808;0.092687444100699;0.07666508971841976;0.10494239739743408;0.09867144865285177;0.09441145057796983;0.08787670759953932;0.08811156724666114;0.10698767978183917;0.09018132000256676
Tom Graves (R);0.101777262843695;0.08928225037117858;0.08359516871748587;0.08059580285899473;0.08516204289612386;0.11135842356322972;0.09817163480596512;0.08957789543530452;0.07991881429716502;0.08002662629280921;0.0953026251054702;0.09063138029489062;0.07553831393342282;0.08601842329070325;0.1107572329034956;0.09223759522429392;0.09084705175063636;0.0820365844599249;0.10489702265730272;0.08219338763049504
Paul Broun (R);0.09117794592272714;0.08677969997324309;0.08434367833202744;0.0844039452944533;0.09171711347454092;0.10777215705061134;0.10399249868367744;0.0928868078106846;0.08515129541750223;0.08348204545966506;0.11099903366421518;0.09925768615493667;0.07579607851483883;0.10049431408157006;0.12345761197128037;0.09371396716373027;0.09019823603115296;0.10988902927550613;0.10552075176307243;0.109269951183091
Phil Gingrey (R);0.11301029961839285;0.10016177954977852;0.10322077860534297;0.08239565184185661;0.09818070976224323;0.09628583734992084;0.09902619140455464;0.11471251739985527;0.0872019170841269;0.08885613267636032;0.09917948271586308;0.1020248916475477;0.0807778038270302;0.10879790469695404;0.13393379451859594;0.09167543562740296;0.09751957867556374;0.09110464737621043;0.11275322670972455;0.1006466275643364
John Barrow (U.S. politician) (D);0.11505629745085102;0.10364072086166487;0.0979521450999532;0.0882120979863142;0.10232782523241754;0.10108436574167144;0.11350958994656984;0.10885046209224396;0.08561456771788667;0.08796773195470434;0.10339959653605446;0.11266889053372756;0.08268378682828961;0.1000078356854178;0.12440618404457054;0.1036490022715038;0.09984420856734083;0.09456826352907496;0.12656488158166446;0.10251646782664807
David Scott (D);0.11203140393007104;0.08796725871885758;0.09946566224661377;0.08422478050978867;0.09559194607048843;0.08300460115725992;0.07417225725520074;0.0945254132712932;0.08463295541356276;0.08882824777048626;0.10401199138415093;0.0973306579461722;0.08443255702527189;0.10100857559723543;0.12444354683252055;0.08654693932032888;0.08347398634771687;0.07381465946299748;0.10504028725476253;0.08742232144558901
Mazie Hirono (D);0.10947005120237707;0.10283848682102674;0.0904697597656528;0.08127849245225957;0.0999035507184282;0.10542993551387994;0.12217172162332073;0.10515164086444044;0.08333386476813467;0.08818867946290347;0.10378203328097338;0.11450392521304648;0.07617374957838871;0.0978274434717599;0.14630175230075249;0.08968039211547962;0.10125155537036493;0.09335117776252268;0.1164915953688166;0.10035016712823976
Mike Simpson (R);0.11463562595300612;0.10465714605003193;0.11008553068862277;0.08422729354464326;0.10950447121443004;0.1114433850360364;0.11938446785053315;0.10208722562219327;0.08697042625455212;0.11092030183925802;0.1110198014224031;0.11715476948211885;0.10034138312171642;0.10406022130470163;0.1450399322468086;0.1016375498947276;0.11175118958060808;0.08814130215784785;0.12559973213654568;0.12051127104466865
Bobby Rush (D);0.10753223796963036;0.10221620024311358;0.1023730661461788;0.10773874534250626;0.10424528178448436;0.11249653316489304;0.11435466424218962;0.109604626663784;0.08444466485758664;0.10885347533586373;0.11134612274270354;0.10206097847062784;0.08202978955500871;0.10435173379393514;0.14187287339153393;0.10904803955271576;0.10452306825224286;0.0993676509919382;0.12141912323537705;0.11726916571753668
